tile_center_lon,tile_center_lat,node_id,center_lon,center_lat,tile_distance_m,pop_density,raw_tile_pop
15.4805555557127583,47.0305555555359973,"(20824331, 35126490, 0)",15.47989048791713,47.03079736083968,57.129,4.645459175109863,4.645459175109863
15.4777777779349783,47.0349999999804425,"(35126490, 1052226102, 0)",15.477813981386536,47.034201032649875,88.883,0.0,4.645459175109863
15.4788888890460896,47.0341666666471099,"(20825435, 364380366, 0)",15.478561298892078,47.03371371764021,56.152,0.9290918350219727,4.645459175109863
15.4788888890460896,47.0341666666471099,"(364380366, 20825435, 0)",15.478561298892076,47.03371371764019,56.152,0.9290918350219727,4.645459175109863
15.4788888890460896,47.0341666666471099,"(1052226102, 364380366, 0)",15.478439465270492,47.033800182810026,53.111,0.9290918350219727,4.645459175109863
15.4794444446016453,47.034444444424885,"(20824610, 1240703420, 0)",15.480551582056778,47.03470214013402,88.663,0.0,4.645459175109863
15.4794444446016453,47.034444444424885,"(1240703420, 20824610, 0)",15.480551582056776,47.034702140134016,88.663,0.0,4.645459175109863
15.4794444446016453,47.034444444424885,"(35127834, 35767520, 0)",15.480509849379802,47.034614648902355,82.931,0.0,4.645459175109863
15.4794444446016453,47.034444444424885,"(35767520, 35127834, 0)",15.480509849379802,47.034614648902355,82.931,0.0,4.645459175109863
15.4816666668238696,47.034444444424885,"(1240703420, 5041762245, 0)",15.481613723352993,47.03521003477486,85.224,0.0,4.645459175109863
15.4816666668238696,47.034444444424885,"(35128805, 268656528, 0)",15.481628002030146,47.0339099515733,59.505,0.7742431958516439,4.645459175109863
15.4816666668238696,47.034444444424885,"(268656528, 35128805, 0)",15.481628002030156,47.03390995157333,59.505,0.7742431958516439,4.645459175109863
15.4816666668238696,47.034444444424885,"(5041762249, 1240703420, 0)",15.481356009138533,47.03530803371252,98.871,0.0,4.645459175109863
15.4816666668238696,47.034444444424885,"(5041762245, 5041762249, 0)",15.481446068078377,47.035359999747634,103.169,0.0,4.645459175109863
15.4816666668238696,47.034444444424885,"(5041762245, 1240703420, 0)",15.481613723352993,47.03521003477486,85.224,0.0,4.645459175109863
15.4777777779349783,47.0322222222026625,"(364380366, 20921176, 0)",15.477588747712709,47.03324630893656,114.771,0.0,4.645459175109863
15.4777777779349783,47.0322222222026625,"(1052226043, 20929475, 0)",15.476672604275771,47.03263296594219,95.403,0.0,4.645459175109863
15.4777777779349783,47.0322222222026625,"(1052226043, 20921176, 0)",15.476920135189854,47.032769830758646,89.066,0.0,4.645459175109863
15.4777777779349783,47.0322222222026625,"(20921176, 20929475, 0)",15.476768157503948,47.03284483458534,103.189,0.0,4.645459175109863
15.4777777779349783,47.0322222222026625,"(20929475, 20921176, 0)",15.476768157503948,47.03284483458534,103.189,0.0,4.645459175109863
15.4777777779349783,47.0322222222026625,"(20929475, 35129132, 0)",15.476084547202067,47.03251845594113,132.488,0.0,4.645459175109863
15.4777777779349783,47.0322222222026625,"(20929475, 20929474, 0)",15.476541551234359,47.03256335940697,101.080,0.0,4.645459175109863
15.4777777779349783,47.0322222222026625,"(20921176, 364380366, 0)",15.477588747712709,47.03324630893656,114.771,0.0,4.645459175109863
15.4777777779349783,47.0322222222026625,"(35129132, 20929474, 0)",15.47614457258892,47.032418690581224,125.692,0.0,4.645459175109863
15.4777777779349783,47.0322222222026625,"(35129132, 20929475, 0)",15.476084547202067,47.03251845594113,132.488,0.0,4.645459175109863
15.4255555557127124,47.0313888888693299,"(20832687, 1027914394, 0)",15.426108438335877,47.03098369347344,61.530,4.645459175109863,4.645459175109863
15.4213888890460424,47.0327777777582199,"(20832644, 1984063881, 0)",15.421561608948858,47.032148421960514,71.195,4.645459175109863,4.645459175109863
15.4122222223793699,47.0341666666471099,"(20832670, 1801528103, 0)",15.411786459286517,47.03379404827345,52.985,2.3227295875549316,4.645459175109863
15.4108333334904799,47.0338888888693347,"(1801528103, 205294454, 0)",15.410992870482321,47.033545909458624,40.008,4.645459175109863,4.645459175109863
15.4116666668238125,47.035833333313775,"(205294016, 1362923206, 0)",15.411300527119428,47.035325404198666,62.927,4.645459175109863,4.645459175109863
15.4108333334904799,47.0347222222026673,"(205294016, 4523835146, 0)",15.411157162452975,47.03515864326817,54.380,2.3227295875549316,4.645459175109863
15.4108333334904799,47.0347222222026673,"(4339983822, 4339983797, 0)",15.410849503155687,47.03539945673071,75.315,0.0,4.645459175109863
15.4269444446016024,47.0311111110915547,"(20959650, 1027914566, 0)",15.426359184437896,47.03085326757262,52.817,0.7742431958516439,4.645459175109863
15.4269444446016024,47.0311111110915547,"(20959652, 20959650, 0)",15.426578340927064,47.030778210985645,46.262,0.7742431958516439,4.645459175109863
15.4269444446016024,47.0311111110915547,"(21994014, 20959652, 0)",15.426783645674194,47.03053509740069,65.199,0.7742431958516439,4.645459175109863
15.4247222223793798,47.0308333333137725,"(1027914394, 20832644, 0)",15.424774566973463,47.03127015028159,48.734,4.645459175109863,4.645459175109863
15.466111111268301,47.044166666647115,"(938635343, 20832768, 0)",15.466152417956659,47.043730572890176,48.592,2.3227295875549316,4.645459175109863
15.466111111268301,47.044166666647115,"(20832768, 938635343, 0)",15.466152417956659,47.04373057289018,48.592,2.3227295875549316,4.645459175109863
15.4627777779349653,47.0444444444248973,"(20832764, 35124224, 0)",15.463044445384377,47.0441011783617,43.188,2.3227295875549316,4.645459175109863
15.4627777779349653,47.0444444444248973,"(35124224, 20832764, 0)",15.46304444538438,47.0441011783617,43.188,2.3227295875549316,4.645459175109863
15.4725000001571953,47.0383333333137799,"(361390712, 35127866, 0)",15.47204238774736,47.038654787040514,49.802,2.3227295875549316,4.645459175109863
15.4725000001571953,47.0383333333137799,"(35127866, 361390712, 0)",15.472042387747358,47.0386547870405,49.802,2.3227295875549316,4.645459175109863
15.4802777779349796,47.0474999999804524,"(2572124658, 2206060014, 0)",15.479676780183269,47.04723492758425,54.243,2.3227295875549316,4.645459175109863
15.4802777779349796,47.0474999999804524,"(2206060014, 2572124658, 0)",15.479676780183272,47.047234927584235,54.243,2.3227295875549316,4.645459175109863
15.4358333334904998,47.0674999999804697,"(1210167008, 21525987, 0)",15.435681655770258,47.067144102139906,41.208,2.3227295875549316,4.645459175109863
